n_points_requested,n,median_abs_error_m,mean_abs_error_m,p90_abs_error_m,p95_abs_error_m,max_abs_error_m
512,225,0.012336797310837255,0.017256982553927932,0.03386285135011731,0.054036960610292166,0.10065070543668309
1000,225,0.006534756363782146,0.00914528376473938,0.022196609186746142,0.025741994238639508,0.07479982270893681
2000,225,0.0014841194363082733,0.0034794855427666195,0.009259192168187368,0.013472166675504582,0.026050365989885305
5000,225,0.0,0.0014233491215681286,0.004234126429677753,0.00811955668407907,0.017461535552451862
10000,225,0.0,0.00046001204686584675,0.0011441890335371794,0.0035688726512601117,0.01134716180445966
20000,225,0.0,7.875440454403483e-05,0.0,0.0003630857406156969,0.002461157308249251
