n_points_requested,median_seed_range_m,p90_seed_range_m,p95_seed_range_m,max_seed_range_m,median_seed_std_m
512,0.015421418415501154,0.03856070297425226,0.052890105690625,0.06571113690338085,0.005584131388033038
1000,0.010199556424093703,0.030049534735134196,0.03619939431471072,0.05058991439354299,0.003999279473516199
2000,0.00623012992027272,0.015797845232502675,0.02120864819766325,0.026050365989885305,0.0026904738801019775
5000,0.0019004100008907787,0.010609069266625503,0.012452346898878076,0.017461535552451862,0.0008510441114021395
10000,0.0,0.004589523445667166,0.007658511970973704,0.01134716180445966,0.0
20000,0.0,0.0008499838280333746,0.0017969902411318324,0.002461157308249251,0.0
