query_id,scene_id,object_a,object_b,available_points_a,available_points_b,n_points_requested,seed,sampled_distance_m,full_point_distance_m,stored_gt_distance_m,abs_error_vs_full_m,abs_error_full_vs_stored_gt_m
test_stage1_dn_0000,scene0008_00,scene0008_00__monitor_029,scene0008_00__table_032,5174,1941,512,0,0.45601631258737213,0.4495985585007109,0.4495985805988312,0.0064177540866612315,2.2098120278091216e-08
test_stage1_dn_0000,scene0008_00,scene0008_00__monitor_029,scene0008_00__table_032,5174,1941,512,1,0.4517051480708475,0.4495985585007109,0.4495985805988312,0.0021065895701365966,2.2098120278091216e-08
test_stage1_dn_0000,scene0008_00,scene0008_00__monitor_029,scene0008_00__table_032,5174,1941,512,2,0.4517722333999813,0.4495985585007109,0.4495985805988312,0.0021736748992703947,2.2098120278091216e-08
test_stage1_dn_0000,scene0008_00,scene0008_00__monitor_029,scene0008_00__table_032,5174,1941,512,3,0.449872992704825,0.4495985585007109,0.4495985805988312,0.0002744342041141046,2.2098120278091216e-08
test_stage1_dn_0000,scene0008_00,scene0008_00__monitor_029,scene0008_00__table_032,5174,1941,512,4,0.4514719775819653,0.4495985585007109,0.4495985805988312,0.0018734190812543794,2.2098120278091216e-08
test_stage1_dn_0000,scene0008_00,scene0008_00__monitor_029,scene0008_00__table_032,5174,1941,1000,0,0.4520824321771499,0.4495985585007109,0.4495985805988312,0.0024838736764389857,2.2098120278091216e-08
test_stage1_dn_0000,scene0008_00,scene0008_00__monitor_029,scene0008_00__table_032,5174,1941,1000,1,0.4502446843635956,0.4495985585007109,0.4495985805988312,0.0006461258628847055,2.2098120278091216e-08
test_stage1_dn_0000,scene0008_00,scene0008_00__monitor_029,scene0008_00__table_032,5174,1941,1000,2,0.4566350145988567,0.4495985585007109,0.4495985805988312,0.0070364560981457935,2.2098120278091216e-08
test_stage1_dn_0000,scene0008_00,scene0008_00__monitor_029,scene0008_00__table_032,5174,1941,1000,3,0.45207869170754844,0.4495985585007109,0.4495985805988312,0.0024801332068375426,2.2098120278091216e-08
test_stage1_dn_0000,scene0008_00,scene0008_00__monitor_029,scene0008_00__table_032,5174,1941,1000,4,0.45287911291268107,0.4495985585007109,0.4495985805988312,0.0032805544119701713,2.2098120278091216e-08
